Englisch,Deutsch
ensconced,versteckt
to forgo sth.,etwas aufgeben; auf etwas verzichten
to leverage,hebeln; zum Durchbruch verhelfen
holistic,ganzheitlich; gesamtheitlich
incentive,anspornend; anreizend; antreibend; anfeuernd
disparate,verschieden; ungleich; ungleichartig; grundverschieden
steam,Dampf; Wasserdampf
dispersed,zerstreut; verstreut; aufgelöst
to preempt,vorwegnehmen; zuvorkommen
to thrive,gedeihen; florieren; aufblühen
to excel,überbieten; ausstechen; sich auszeichnen
to perceive,wahrnehmen; bemerken; erkennen
venture,Projekt; Unternehmen; Wagnis; Risiko; Spekulation
to reap,ernten; erlanten; einheimsen
mundanely,weltlich
aseptic,keimfrei; steril; aseptisch
conceiving,ersinnend
to pan out,sich bezahlt machen; aufgehen; sich entwickeln
to refine,weiterentwickeln; veredeln; raffinieren
to fare better,besser abschneiden
to fare the worst,am schlechtesten abschneiden
to obtain,abrufen; akquirieren; bekommen; erwirtschaften
complacency,Selbstgefälligkeit; Selbstzufriedenheit; Bequemlichkeit
to reexamine,nachprüfen
leverage,Einfluss; Druckmittel; Hebelkraft; Fremdkapitalaufnahme; Verschuldungsgrad
ubiquitous,allgegenwärtig; omnipräsent
steep,steil
conversely,umgekehrt
to yield sth.,etw. hervorbringen; etw. erbringen; etw. ergeben
to precede,vorangehen; voranstehen; vorausgehen
niche,Nische
to munge sth.,etw. verschleiern
to parse,analysieren; aufgliedern; zergliedern
to exact,abverlangen; eintreiben; fordern
friction,Reibung; Spannung
morphing,Verwandlung
to exacerbate,verschlimmern; erschweren; verschärfen
magnified,vergrößert
slew,Menge
unconstrained,zwanglos; locker; ungezwungen
to mold sth.,etw. bilden
to mold sb.'s character,jdn. prägen
longitudinal study,Langzeitstudie
hunch,Ahnung; Vermutung
evenhanded,unparteiisch
to opt out,aussteigen; sich abmelden; die Zustimmung verweigern; sich ausklinken
distinctive,charakterischtisch; bezeichnend; unverwechselbar
to assess,abschätzen; ermessen; evaluieren
detrimental,schädlich; nachteilig
to usher,einführen; geleiten
to examine,begutachten
liabilities,Verpflichtungen; Verbindlichkeiten
accounts receivable,Außenstände; Forderungen
asset,Vermögen; Gewinn
accounts payable,Kreditorenkonto; Schuldposten; Verbindlichkeiten
deducted,abgezogen; abgerechnet
depreciation,Abschreibung; Wertminderung
gross,brutto
to talk turkey,Tacheles reden; offen reden; sachlich reden
pervasive,beherrschend durchdringend; tiefgreifend
